37,陳翰立,107年縣(市)議員選舉,首次申報,1071122,營利事業捐贈收入,鑫永銓股份有限公司,51704734,200000.00,0.00,,金錢,南投縣南投市****,0492*****,
69,林明溱,107年縣(市)長選舉,首次申報,1071011,營利事業捐贈收入,佶佑投資股份有限公司,12747881,100000.00,0.00,,金錢,南投縣南投市****,,
70,林明溱,107年縣(市)長選舉,首次申報,1071011,營利事業捐贈收入,佶佑投資股份有限公司,12747881,100000.00,0.00,,金錢,南投縣南投市****,,
71,林明溱,107年縣(市)長選舉,首次申報,1071011,營利事業捐贈收入,佶佑投資股份有限公司,12747881,100000.00,0.00,,金錢,南投縣南投市****,,
79,林明溱,107年縣(市)長選舉,首次申報,1071012,營利事業捐贈收入,佶佑投資股份有限公司,12747881,100000.00,0.00,,金錢,南投縣南投市****,,
80,林明溱,107年縣(市)長選舉,首次申報,1071012,營利事業捐贈收入,佶佑投資股份有限公司,12747881,100000.00,0.00,,金錢,南投縣南投市****,,
106,林明溱,107年縣(市)長選舉,首次申報,1071018,營利事業捐贈收入,佶佑投資股份有限公司,12747881,100000.00,0.00,,金錢,南投縣南投市****,,
107,林明溱,107年縣(市)長選舉,首次申報,1071018,營利事業捐贈收入,佶佑投資股份有限公司,12747881,100000.00,0.00,,金錢,南投縣南投市****,,
114,林明溱,107年縣(市)長選舉,首次申報,1071019,營利事業捐贈收入,佶佑投資股份有限公司,12747881,100000.00,0.00,,金錢,南投縣南投市****,,
115,林明溱,107年縣(市)長選舉,首次申報,1071019,營利事業捐贈收入,佶佑投資股份有限公司,12747881,100000.00,0.00,,金錢,南投縣南投市****,,
116,林明溱,107年縣(市)長選舉,首次申報,1071019,營利事業捐贈收入,佶佑投資股份有限公司,12747881,100000.00,0.00,,金錢,南投縣南投市****,,
