75,洪瑋庭,111年嘉義市議員選舉,首次申報,1110831,雜支支出,耐斯廣場,42588333,0.00,158.00,,,,環保袋,金錢,,,否,,,,,,,
11,王啓澧,111年嘉義縣議員選舉,首次申報,1110723,宣傳支出,耐斯廣場股份有限公司,42588333,0.00,7650.00,,,,其他與選舉宣傳有關之費用,金錢,嘉義市忠孝路****,05-2*****,否,,,,,,,
38,王啓澧,111年嘉義縣議員選舉,首次申報,1110817,宣傳支出,耐斯廣場股份有限公司,42588333,0.00,4500.00,,,,其他與選舉宣傳有關之費用,金錢,嘉義市忠孝路****,05-2*****,否,,,,,,,
63,王啓澧,111年嘉義縣議員選舉,首次申報,1110907,宣傳支出,耐斯廣場股份有限公司,42588333,0.00,4700.00,,,,其他與選舉宣傳有關之費用,金錢,嘉義市忠孝路****,05-2*****,否,,,,,,,
86,王啓澧,111年嘉義縣議員選舉,首次申報,1110927,宣傳支出,耐斯廣場股份有限公司,42588333,0.00,5650.00,,,,其他與選舉宣傳有關之費用,金錢,嘉義市忠孝路****,05-2*****,否,,,,,,,
179,王啓澧,111年嘉義縣議員選舉,首次申報,1111128,宣傳支出,耐斯廣場股份有限公司,42588333,0.00,3370.00,,,,其他與選舉宣傳有關之費用,金錢,嘉義市忠孝路****,05-2*****,否,,,,,,,
272,李俊俋,111年嘉義市市長選舉,首次申報,1110822,雜支支出,耐斯廣場股份有限公司,42588333,0.00,499.00,,,,雜項購置(外套),金錢,嘉義市東區義****,05-2*****,否,,,,,,,
273,李俊俋,111年嘉義市市長選舉,首次申報,1110822,雜支支出,耐斯廣場股份有限公司,42588333,0.00,998.00,,,,雜項購置(外套),金錢,嘉義市東區義****,05-2*****,否,,,,,,,
274,李俊俋,111年嘉義市市長選舉,首次申報,1110822,雜支支出,耐斯廣場股份有限公司,42588333,0.00,1880.00,,,,雜項購置(衣服、外套),金錢,嘉義市東區義****,05-2*****,否,,,,,,,
275,李俊俋,111年嘉義市市長選舉,首次申報,1110822,雜支支出,耐斯廣場股份有限公司,42588333,0.00,3950.00,,,,雜項購置(衣服),金錢,嘉義市東區義****,05-2*****,否,,,,,,,
276,李俊俋,111年嘉義市市長選舉,首次申報,1110822,雜支支出,耐斯廣場股份有限公司,42588333,0.00,16520.00,,,,雜項購置(衣服),金錢,嘉義市東區義****,05-2*****,否,,,,,,,
308,李俊俋,111年嘉義市市長選舉,首次申報,1110825,雜支支出,耐斯廣場股份有限公司,42588333,0.00,9440.00,,,,雜項購置(衣服),金錢,嘉義市東區義****,05-2*****,否,,,,,,,
326,李俊俋,111年嘉義市市長選舉,首次申報,1110827,雜支支出,耐斯廣場股份有限公司,42588333,0.00,1580.00,,,,雜項購置(衣服),金錢,嘉義市東區義****,05-2*****,否,,,,,,,
614,李俊俋,111年嘉義市市長選舉,首次申報,1110923,集會支出,耐斯廣場股份有限公司,42588333,0.00,1800.00,,,,餐飲費用,金錢,嘉義市東區義****,05-2*****,否,,,,,,,
615,李俊俋,111年嘉義市市長選舉,首次申報,1110923,集會支出,耐斯廣場股份有限公司,42588333,0.00,12000.00,,,,租用場地費用,金錢,嘉義市東區義****,05-2*****,否,,,,,,,
1021,李俊俋,111年嘉義市市長選舉,首次申報,1111023,集會支出,耐斯廣場股份有限公司,42588333,0.00,60250.00,,,,租用場地費用,金錢,嘉義市東區義****,05-2*****,否,,,,,,,
1022,李俊俋,111年嘉義市市長選舉,首次申報,1111023,集會支出,耐斯廣場股份有限公司,42588333,0.00,7942.00,,,,餐飲費用,金錢,嘉義市東區義****,05-2*****,否,,,,,,,
1176,李俊俋,111年嘉義市市長選舉,首次申報,1111106,雜支支出,耐斯廣場股份有限公司,42588333,0.00,3980.00,,,,外套衣樣,金錢,嘉義市東區義****,05-2*****,否,,,,,,,
1177,李俊俋,111年嘉義市市長選舉,首次申報,1111106,雜支支出,耐斯廣場股份有限公司,42588333,0.00,5973.00,,,,外套衣樣,金錢,嘉義市東區義****,05-2*****,否,,,,,,,
600,黃敏惠,111年嘉義市市長選舉,首次申報,1110821,雜支支出,奈斯廣場,42588333,0.00,280.00,,,,餐飲費用,金錢,,,否,,,,,,,
601,黃敏惠,111年嘉義市市長選舉,首次申報,1110821,雜支支出,奈斯廣場,42588333,0.00,220.00,,,,餐飲費用,金錢,,,否,,,,,,,
974,黃敏惠,111年嘉義市市長選舉,首次申報,1111009,雜支支出,奈斯廣場,42588333,0.00,1005.00,,,,餐飲費用,金錢,,,否,,,,,,,
998,黃敏惠,111年嘉義市市長選舉,首次申報,1111012,雜支支出,奈斯廣場,42588333,0.00,6485.00,,,,餐飲費用,金錢,,,否,,,,,,,
1778,黃敏惠,111年嘉義市市長選舉,首次申報,1111218,交通旅運支出,耐斯王子大飯店,42588333,0.00,8000.00,,,,差旅膳宿費用,金錢,嘉義市東區忠****,,否,,,,,,,
137,曹爾元,111年連江縣縣長選舉,首次申報,1111016,雜支支出,耐斯王子大飯店,42588333,0.00,3979.00,,,,餐飲費用,金錢,,,否,,,,,,,
