5,劉耀仁,111年臺北市議員選舉,首次申報,1110726,營利事業捐贈收入,愛山林建設開發股份有限公司,22190686,200000.00,0.00,匯款,1110726,,,金錢,臺北市大安區****,,,,,,,,,
525,高虹安,111年新竹市市長選舉,首次申報,1110915,營利事業捐贈收入,愛山林建設開發股份有限公司,22190686,80000.00,0.00,,,,,非金錢,台北市大安區****,,,,,,,,,
526,高虹安,111年新竹市市長選舉,首次申報,1110915,營利事業捐贈收入,愛山林建設開發股份有限公司,22190686,30000.00,0.00,,,,,非金錢,台北市大安區****,,,,,,,,,
527,高虹安,111年新竹市市長選舉,首次申報,1110915,營利事業捐贈收入,愛山林建設開發股份有限公司,22190686,45000.00,0.00,,,,,非金錢,台北市大安區****,,,,,,,,,
528,高虹安,111年新竹市市長選舉,首次申報,1110915,營利事業捐贈收入,愛山林建設開發股份有限公司,22190686,45000.00,0.00,,,,,非金錢,台北市大安區****,,,,,,,,,
529,高虹安,111年新竹市市長選舉,首次申報,1110915,營利事業捐贈收入,愛山林建設開發股份有限公司,22190686,48000.00,0.00,,,,,非金錢,台北市大安區****,,,,,,,,,
530,高虹安,111年新竹市市長選舉,首次申報,1110915,營利事業捐贈收入,愛山林建設開發股份有限公司,22190686,30000.00,0.00,,,,,非金錢,台北市大安區****,,,,,,,,,
531,高虹安,111年新竹市市長選舉,首次申報,1110915,營利事業捐贈收入,愛山林建設開發股份有限公司,22190686,100000.00,0.00,,,,,非金錢,台北市大安區****,,,,,,,,,
532,高虹安,111年新竹市市長選舉,首次申報,1110915,營利事業捐贈收入,愛山林建設開發股份有限公司,22190686,60000.00,0.00,,,,,非金錢,台北市大安區****,,,,,,,,,
842,高虹安,111年新竹市市長選舉,首次申報,1110930,營利事業捐贈收入,愛山林建設開發股份有限公司,22190686,30000.00,0.00,,,,,非金錢,台北市大安區****,,,,,,,,,
843,高虹安,111年新竹市市長選舉,首次申報,1110930,營利事業捐贈收入,愛山林建設開發股份有限公司,22190686,70000.00,0.00,,,,,非金錢,台北市大安區****,,,,,,,,,
844,高虹安,111年新竹市市長選舉,首次申報,1110930,營利事業捐贈收入,愛山林建設開發股份有限公司,22190686,45000.00,0.00,,,,,非金錢,台北市大安區****,,,,,,,,,
1003,高虹安,111年新竹市市長選舉,首次申報,1111015,營利事業捐贈收入,愛山林建設開發股份有限公司,22190686,70000.00,0.00,,,,,非金錢,台北市大安區****,,,,,,,,,
1004,高虹安,111年新竹市市長選舉,首次申報,1111015,營利事業捐贈收入,愛山林建設開發股份有限公司,22190686,36000.00,0.00,,,,,非金錢,台北市大安區****,,,,,,,,,
1005,高虹安,111年新竹市市長選舉,首次申報,1111015,營利事業捐贈收入,愛山林建設開發股份有限公司,22190686,50000.00,0.00,,,,,非金錢,台北市大安區****,,,,,,,,,
