2,洪慈庸,109年立法委員選舉,首次申報,1080624,租用宣傳車輛支出,中智捷汽車股份有限公司,24367490,0.00,800.00,維修宣傳車輛支出,金錢,臺中市南區文****,,
1729,費鴻泰,109年立法委員選舉,首次申報,1090114,租用宣傳車輛支出,格上租車,12208883,0.00,4000.00,租用宣傳車輛支出,金錢,,,
530,蕭美琴,109年立法委員選舉,首次申報,1081230,交通旅運支出,格上租車,12208883,0.00,28071.00,搭乘交通工具支出,金錢,,,
1317,蕭美琴,109年立法委員選舉,首次申報,1090130,交通旅運支出,格上租車,12208883,0.00,28071.00,搭乘交通工具支出,金錢,,,
23,李昆澤,109年立法委員選舉,首次申報,1080510,租用宣傳車輛支出,格上汽車租賃股份有限公司,12208883,0.00,53800.00,租用宣傳車輛支出,金錢,臺北市中山區****,,
108,李昆澤,109年立法委員選舉,首次申報,1080610,租用宣傳車輛支出,格上汽車租賃股份有限公司,12208883,0.00,53800.00,租用宣傳車輛支出,金錢,臺北市中山區****,02-2*****,
200,李昆澤,109年立法委員選舉,首次申報,1080710,租用宣傳車輛支出,格上汽車租賃股份有限公司,12208883,0.00,53800.00,租用宣傳車輛支出,金錢,臺北市中山區****,02-2*****,
315,李昆澤,109年立法委員選舉,首次申報,1080810,租用宣傳車輛支出,格上汽車租賃股份有限公司,12208883,0.00,53800.00,租用宣傳車輛支出,金錢,臺北市中山區****,0225*****,
467,李昆澤,109年立法委員選舉,首次申報,1080910,租用宣傳車輛支出,格上汽車租賃股份有限公司,12208883,0.00,53800.00,租用宣傳車輛支出,金錢,臺北市中山區****,,
626,李昆澤,109年立法委員選舉,首次申報,1081010,租用宣傳車輛支出,格上汽車租賃股份有限公司,12208883,0.00,53800.00,租用宣傳車輛支出,金錢,臺北市中山區****,,
771,李昆澤,109年立法委員選舉,首次申報,1081110,租用宣傳車輛支出,格上汽車租賃股份有限公司,12208883,0.00,53800.00,租用宣傳車輛支出,金錢,臺北市中山區****,,
986,李昆澤,109年立法委員選舉,首次申報,1081210,租用宣傳車輛支出,格上汽車租賃股份有限公司,12208883,0.00,53800.00,租用宣傳車輛支出,金錢,臺北市中山區****,,
1206,李昆澤,109年立法委員選舉,首次申報,1090110,租用宣傳車輛支出,格上汽車租賃股份有限公司,12208883,0.00,53800.00,租用宣傳車輛支出,金錢,臺北市中山區****,,
