11,鄭文燦,107年直轄市市長選舉,首次申報,1070705,返還支出,微風廣場實業股份有限公司,89477962,0.00,1000000.00,返還,金錢,臺北市松山區****,,
24,唐瓔庭,107年直轄市議員選舉,首次申報,1070913,雜支支出,微風廣場,89477962,0.00,155.00,餐飲費用,金錢,,,
294,李婉鈺,107年直轄市議員選舉,首次申報,1071008,雜支支出,微風廣場實業股份有限公司,89477962,0.00,1580.00,雜項購置或修繕費用,金錢,臺北市松山區****,,
14,陳偉杰,107年直轄市議員選舉,首次申報,1070710,公共關係費用支出,微風廣場,89477962,0.00,1194.00,聯誼交際費用,金錢,,,
18,陳偉杰,107年直轄市議員選舉,首次申報,1070712,公共關係費用支出,微風廣場,89477962,0.00,1224.00,聯誼交際費用,金錢,,,
73,陳偉杰,107年直轄市議員選舉,首次申報,1070801,公共關係費用支出,微風廣場,89477962,0.00,1674.00,聯誼交際費用,金錢,,,
15,張肇良,107年直轄市議員選舉,首次申報,1070801,集會支出,松佳飲料(股)公司,23577737,0.00,6210.00,餐飲支出,金錢,桃園市平鎮區****,,
16,張肇良,107年直轄市議員選舉,首次申報,1070801,宣傳支出,松佳飲料股份有限公司,23577737,0.00,51750.00,製作競選物品支出（礦泉水）,金錢,桃園市平鎮區****,,
36,張肇良,107年直轄市議員選舉,首次申報,1070917,集會支出,松佳飲料(股)公司,23577737,0.00,16560.00,餐飲支出,金錢,桃園市平鎮區****,,
63,張肇良,107年直轄市議員選舉,首次申報,1071001,宣傳支出,松佳飲料股份有限公司,23577737,0.00,33120.00,製作競選物品支出（物品名稱-請填寫）,金錢,桃園市平鎮區****,0343*****,
101,張肇良,107年直轄市議員選舉,首次申報,1071008,集會支出,松佳飲料(股)公司,23577737,0.00,16560.00,餐飲支出,金錢,桃園市平鎮區****,,
212,張肇良,107年直轄市議員選舉,首次申報,1071024,宣傳支出,松佳飲料股份有限公司,23577737,0.00,33120.00,製作競選物品支出（礦泉水）,金錢,桃園市平鎮區****,03-4*****,
485,張肇良,107年直轄市議員選舉,首次申報,1071214,宣傳支出,松佳飲料股份有限公司,23577737,0.00,16560.00,製作競選物品支出（礦泉水）,金錢,桃園市平鎮區****,,
364,吳崢,107年直轄市議員選舉,首次申報,1070722,雜支支出,微風廣場,89477962,0.00,1265.00,餐飲費用,金錢,,,
62,王欣儀,107年直轄市議員選舉,首次申報,1070702,雜支支出,微風廣場實業股份有限公司,89477962,0.00,1290.00,餐飲費用,金錢,臺北市松山區****,,
139,王欣儀,107年直轄市議員選舉,首次申報,1070829,雜支支出,微風廣場實業股份有限公司,89477962,0.00,810.00,餐飲費用,金錢,臺北市松山區****,,
41,羅智強,107年直轄市議員選舉,第3次賸餘,1100112,當選後與其公務有關之費用支出,微風廣場實業股份有限公司,89477962,0.00,1230.00,,,,雜項購置費用,金錢,,,,,,,,,,
131,羅智強,107年直轄市議員選舉,第3次賸餘,1100202,當選後與其公務有關之費用支出,微風廣場,89477962,0.00,809.00,,,,雜項購置費用,金錢,,,,,,,,,,
106,耿葳,107年直轄市議員選舉,首次申報,1070608,雜支支出,微風廣場,89477962,0.00,750.00,餐飲費用,金錢,臺北市信義區****,,
158,耿葳,107年直轄市議員選舉,首次申報,1070712,雜支支出,微風廣場,89477962,0.00,1060.00,餐飲費用,金錢,臺北市信義區****,,
182,耿葳,107年直轄市議員選舉,首次申報,1070730,雜支支出,微風廣場,89477962,0.00,750.00,餐飲費用,金錢,臺北市信義區****,,
237,耿葳,107年直轄市議員選舉,首次申報,1070824,雜支支出,微風廣場,89477962,0.00,870.00,餐飲費用,金錢,臺北市大安區****,,
345,耿葳,107年直轄市議員選舉,首次申報,1071002,雜支支出,微風廣場,89477962,0.00,1670.00,餐飲費用,金錢,臺北市松山區****,,
414,耿葳,107年直轄市議員選舉,首次申報,1071022,雜支支出,微風廣場,89477962,0.00,1320.00,餐飲費用,金錢,臺北市大安區****,,
631,耿葳,107年直轄市議員選舉,首次申報,1071130,雜支支出,微風廣場,89477962,0.00,1300.00,餐飲費用,金錢,臺北市松山區****,,
77,闕枚莎,107年直轄市議員選舉,第二次賸餘,1090816,當選後與其公務有關之費用支出,微風廣場實業股份有限公司,89477962,0.00,14750.00,,,,為民服務費用,金錢,,,,,,,,,
251,陳彥伯,107年直轄市議員選舉,首次申報,1070708,雜支支出,微風廣場實業股份有限公司,89477962,0.00,50.00,餐飲費用,金錢,,,
252,陳彥伯,107年直轄市議員選舉,首次申報,1070708,雜支支出,微風廣場實業股份有限公司,89477962,0.00,217.00,餐飲費用,金錢,,,
253,陳彥伯,107年直轄市議員選舉,首次申報,1070708,雜支支出,微風廣場實業股份有限公司,89477962,0.00,290.00,餐飲費用,金錢,,,
362,高嘉瑜,107年直轄市議員選舉,第二次賸餘,1091101,當選後與其公務有關之費用支出,微風廣場,89477962,0.00,225.00,,,,餐飲支出,金錢,,,,,,,,,
30,徐信芳,107年縣(市)議員選舉,首次申報,1070731,雜支支出,松埔食品(股)公司,42754959,0.00,2550.00,餐飲費用-黑松純水,金錢,,,
397,涂醒哲,107年縣(市)長選舉,首次申報,1071008,雜支支出,松泰飲料股份有限公司,86406887,0.00,600.00,餐飲費用,金錢,嘉義市廣寧街****,,
